Code_base;Base;Ref publi;Code_publi;Exp;Trait;N°Refexp;N°trait_publi;Exp_fact;Description_trait;Nom_trait;Espece;Code_espece;MSI;pH;C2/C3;C2;C3;R_NDF;C_MOdeg;NDFF;%conc
3;Nature/proportion;Forster1994;118;3;1;1183;11831;11831;contrôle;control;Beef_cow;2;8,3;6,69;;;;599;0;599;0
3;Nature/proportion;Forster1994;118;3;2;1183;11832;11831;full fat rice bran;FR;Beef_cow;2;8;6,54;;;;498;162;437;27
3;Nature/proportion;Forster1994;118;3;3;1183;11833;11831;corn;C;Beef_cow;2;7,9;6,66;;;;469;149;437;27
3;Nature/proportion;Forster1994;118;3;4;1183;11834;11831;wheat middlings;W;Beef_cow;2;8,2;6,63;;;;533;164;437;27
3;Nature/proportion;Forster1994;118;3;5;1183;11835;11831;low-defatted rice bran;L-DR;Beef_cow;2;8,1;6,67;;;;509;155;437;27
3;Nature/proportion;Forster1994;118;3;6;1183;11836;11831;high-deffated rice bran;H-DR;Beef_cow;2;8,5;6,62;;;;509;155;437;27
3;Nature/proportion;Cecava1990;129;1;1;1291;12911;12911;80 % forage - (effet proportion four, croisé avec 2 fréquences d'alim);HF;Steer;2;8,2;6,28;3,9;66,4;17,2;417;119;400;20
3;Nature/proportion;Cecava1990;129;1;2;1291;12912;12911;35% forage - (effet proportion four, Croisé avec 2 fréquences d'alim);LF;Steer;2;8,3;6,27;3,7;66,1;18;235;375;166;65
3;Nature/proportion;Oba2003;172;1;1;1721;17211;17211;43 % silage - 32 % high moisture corn;HS-HM;Dairy_cow;1;20,8;6,12;2,4;58,1;24,7;247;364;167;57
3;Nature/proportion;Oba2003;172;1;2;1721;17212;17211;43 % silage - 32 % dry ground corn;HS-DG;Dairy_cow;1;22,5;6,13;2,3;57,8;25,6;247;306;168;57
